"","administrative","city","airport","imported","cases","region","population","date","Date"
"1","District","Anle District ","No","No",0,"North",82336,"2021-01-01",2021-01-01
"2","District","Anle District ","No","No",0,"North",82336,"2021-01-02",2021-01-02
"3","District","Anle District ","No","No",0,"North",82336,"2021-01-03",2021-01-03
"4","District","Anle District ","No","No",0,"North",82336,"2021-01-04",2021-01-04
"5","District","Anle District ","No","No",0,"North",82336,"2021-01-05",2021-01-05
"6","District","Anle District ","No","No",0,"North",82336,"2021-01-06",2021-01-06
"7","District","Anle District ","No","No",0,"North",82336,"2021-01-07",2021-01-07
"8","District","Anle District ","No","No",0,"North",82336,"2021-01-08",2021-01-08
"9","District","Anle District ","No","No",0,"North",82336,"2021-01-09",2021-01-09
"10","District","Anle District ","No","No",0,"North",82336,"2021-01-10",2021-01-10
"11","District","Anle District ","No","No",0,"North",82336,"2021-01-11",2021-01-11
"12","District","Anle District ","No","No",0,"North",82336,"2021-01-12",2021-01-12
"13","District","Anle District ","No","No",0,"North",82336,"2021-01-13",2021-01-13
"14","District","Anle District ","No","No",0,"North",82336,"2021-01-14",2021-01-14
"15","District","Anle District ","No","No",0,"North",82336,"2021-01-15",2021-01-15
"16","District","Anle District ","No","No",0,"North",82336,"2021-01-16",2021-01-16
"17","District","Anle District ","No","No",0,"North",82336,"2021-01-17",2021-01-17
"18","District","Anle District ","No","No",0,"North",82336,"2021-01-18",2021-01-18
"19","District","Anle District ","No","No",0,"North",82336,"2021-01-19",2021-01-19
"20","District","Anle District ","No","No",0,"North",82336,"2021-01-20",2021-01-20
"21","District","Anle District ","No","No",0,"North",82336,"2021-01-21",2021-01-21
"22","District","Anle District ","No","No",0,"North",82336,"2021-01-22",2021-01-22
"23","District","Anle District ","No","No",0,"North",82336,"2021-01-23",2021-01-23
"24","District","Anle District ","No","No",0,"North",82336,"2021-01-24",2021-01-24
"25","District","Anle District ","No","No",0,"North",82336,"2021-01-25",2021-01-25
"26","District","Anle District ","No","No",0,"North",82336,"2021-01-26",2021-01-26
"27","District","Anle District ","No","No",0,"North",82336,"2021-01-27",2021-01-27
"28","District","Anle District ","No","No",0,"North",82336,"2021-01-28",2021-01-28
"29","District","Anle District ","No","No",0,"North",82336,"2021-01-29",2021-01-29
"30","District","Anle District ","No","No",0,"North",82336,"2021-01-30",2021-01-30
"31","District","Anle District ","No","No",0,"North",82336,"2021-01-31",2021-01-31
"32","District","Anle District ","No","No",0,"North",82336,"2021-02-01",2021-02-01
"33","District","Anle District ","No","No",0,"North",82336,"2021-02-02",2021-02-02
"34","District","Anle District ","No","No",0,"North",82336,"2021-02-03",2021-02-03
"35","District","Anle District ","No","No",0,"North",82336,"2021-02-04",2021-02-04
"36","District","Anle District ","No","No",0,"North",82336,"2021-02-05",2021-02-05
"37","District","Anle District ","No","No",0,"North",82336,"2021-02-06",2021-02-06
"38","District","Anle District ","No","No",0,"North",82336,"2021-02-07",2021-02-07
"39","District","Anle District ","No","No",0,"North",82336,"2021-02-08",2021-02-08
"40","District","Anle District ","No","No",0,"North",82336,"2021-02-09",2021-02-09
"41","District","Anle District ","No","No",0,"North",82336,"2021-02-10",2021-02-10
"42","District","Anle District ","No","No",0,"North",82336,"2021-02-11",2021-02-11
"43","District","Anle District ","No","No",0,"North",82336,"2021-02-12",2021-02-12
"44","District","Anle District ","No","No",0,"North",82336,"2021-02-13",2021-02-13
"45","District","Anle District ","No","No",0,"North",82336,"2021-02-14",2021-02-14
"46","District","Anle District ","No","No",0,"North",82336,"2021-02-15",2021-02-15
"47","District","Anle District ","No","No",0,"North",82336,"2021-02-16",2021-02-16
"48","District","Anle District ","No","No",0,"North",82336,"2021-02-17",2021-02-17
"49","District","Anle District ","No","No",0,"North",82336,"2021-02-18",2021-02-18
"50","District","Anle District ","No","No",0,"North",82336,"2021-02-19",2021-02-19
"51","District","Anle District ","No","No",0,"North",82336,"2021-02-20",2021-02-20
"52","District","Anle District ","No","No",0,"North",82336,"2021-02-21",2021-02-21
"53","District","Anle District ","No","No",0,"North",82336,"2021-02-22",2021-02-22
"54","District","Anle District ","No","No",0,"North",82336,"2021-02-23",2021-02-23
"55","District","Anle District ","No","No",0,"North",82336,"2021-02-24",2021-02-24
"56","District","Anle District ","No","No",0,"North",82336,"2021-02-25",2021-02-25
"57","District","Anle District ","No","No",0,"North",82336,"2021-02-26",2021-02-26
"58","District","Anle District ","No","No",0,"North",82336,"2021-02-27",2021-02-27
"59","District","Anle District ","No","No",0,"North",82336,"2021-02-28",2021-02-28
"60","District","Anle District ","No","No",0,"North",82336,"2021-03-01",2021-03-01
"61","District","Anle District ","No","No",0,"North",82336,"2021-03-02",2021-03-02
"62","District","Anle District ","No","No",0,"North",82336,"2021-03-03",2021-03-03
"63","District","Anle District ","No","No",0,"North",82336,"2021-03-04",2021-03-04
"64","District","Anle District ","No","No",0,"North",82336,"2021-03-05",2021-03-05
"65","District","Anle District ","No","No",0,"North",82336,"2021-03-06",2021-03-06
"66","District","Anle District ","No","No",0,"North",82336,"2021-03-07",2021-03-07
"67","District","Anle District ","No","No",0,"North",82336,"2021-03-08",2021-03-08
"68","District","Anle District ","No","No",0,"North",82336,"2021-03-09",2021-03-09
"69","District","Anle District ","No","No",0,"North",82336,"2021-03-10",2021-03-10
"70","District","Anle District ","No","No",0,"North",82336,"2021-03-11",2021-03-11
"71","District","Anle District ","No","No",0,"North",82336,"2021-03-12",2021-03-12
"72","District","Anle District ","No","No",0,"North",82336,"2021-03-13",2021-03-13
"73","District","Anle District ","No","No",0,"North",82336,"2021-03-14",2021-03-14
"74","District","Anle District ","No","No",0,"North",82336,"2021-03-15",2021-03-15
"75","District","Anle District ","No","No",0,"North",82336,"2021-03-16",2021-03-16
"76","District","Anle District ","No","No",0,"North",82336,"2021-03-17",2021-03-17
"77","District","Anle District ","No","No",0,"North",82336,"2021-03-18",2021-03-18
"78","District","Anle District ","No","No",0,"North",82336,"2021-03-19",2021-03-19
"79","District","Anle District ","No","No",0,"North",82336,"2021-03-20",2021-03-20
"80","District","Anle District ","No","No",0,"North",82336,"2021-03-21",2021-03-21
"81","District","Anle District ","No","No",0,"North",82336,"2021-03-22",2021-03-22
"82","District","Anle District ","No","No",0,"North",82336,"2021-03-23",2021-03-23
"83","District","Anle District ","No","No",0,"North",82336,"2021-03-24",2021-03-24
"84","District","Anle District ","No","No",0,"North",82336,"2021-03-25",2021-03-25
"85","District","Anle District ","No","No",0,"North",82336,"2021-03-26",2021-03-26
"86","District","Anle District ","No","No",0,"North",82336,"2021-03-27",2021-03-27
"87","District","Anle District ","No","No",0,"North",82336,"2021-03-28",2021-03-28
"88","District","Anle District ","No","No",0,"North",82336,"2021-03-29",2021-03-29
"89","District","Anle District ","No","No",0,"North",82336,"2021-03-30",2021-03-30
"90","District","Anle District ","No","No",0,"North",82336,"2021-03-31",2021-03-31
"91","District","Anle District ","No","No",0,"North",82336,"2021-04-01",2021-04-01
"92","District","Anle District ","No","No",0,"North",82336,"2021-04-02",2021-04-02
"93","District","Anle District ","No","No",0,"North",82336,"2021-04-03",2021-04-03
"94","District","Anle District ","No","No",0,"North",82336,"2021-04-04",2021-04-04
"95","District","Anle District ","No","No",0,"North",82336,"2021-04-05",2021-04-05
"96","District","Anle District ","No","No",0,"North",82336,"2021-04-06",2021-04-06
"97","District","Anle District ","No","No",0,"North",82336,"2021-04-07",2021-04-07
"98","District","Anle District ","No","No",0,"North",82336,"2021-04-08",2021-04-08
"99","District","Anle District ","No","No",0,"North",82336,"2021-04-09",2021-04-09
"100","District","Anle District ","No","No",0,"North",82336,"2021-04-10",2021-04-10
"101","District","Anle District ","No","No",0,"North",82336,"2021-04-11",2021-04-11
"102","District","Anle District ","No","No",0,"North",82336,"2021-04-12",2021-04-12
"103","District","Anle District ","No","No",0,"North",82336,"2021-04-13",2021-04-13
"104","District","Anle District ","No","No",0,"North",82336,"2021-04-14",2021-04-14
"105","District","Anle District ","No","No",0,"North",82336,"2021-04-15",2021-04-15
"106","District","Anle District ","No","No",0,"North",82336,"2021-04-16",2021-04-16
"107","District","Anle District ","No","No",0,"North",82336,"2021-04-17",2021-04-17
"108","District","Anle District ","No","No",0,"North",82336,"2021-04-18",2021-04-18
"109","District","Anle District ","No","No",0,"North",82336,"2021-04-19",2021-04-19
"110","District","Anle District ","No","No",0,"North",82336,"2021-04-20",2021-04-20
"111","District","Anle District ","No","No",0,"North",82336,"2021-04-21",2021-04-21
"112","District","Anle District ","No","No",0,"North",82336,"2021-04-22",2021-04-22
"113","District","Anle District ","No","No",0,"North",82336,"2021-04-23",2021-04-23
"114","District","Anle District ","No","No",0,"North",82336,"2021-04-24",2021-04-24
"115","District","Anle District ","No","No",0,"North",82336,"2021-04-25",2021-04-25
"116","District","Anle District ","No","No",0,"North",82336,"2021-04-26",2021-04-26
"117","District","Anle District ","No","No",0,"North",82336,"2021-04-27",2021-04-27
"118","District","Anle District ","No","No",0,"North",82336,"2021-04-28",2021-04-28
"119","District","Anle District ","No","No",0,"North",82336,"2021-04-29",2021-04-29
"120","District","Anle District ","No","No",0,"North",82336,"2021-04-30",2021-04-30
"121","District","Anle District ","No","No",0,"North",82336,"2021-05-01",2021-05-01
"122","District","Anle District ","No","No",0,"North",82336,"2021-05-02",2021-05-02
"123","District","Anle District ","No","No",0,"North",82336,"2021-05-03",2021-05-03
"124","District","Anle District ","No","No",0,"North",82336,"2021-05-04",2021-05-04
"125","District","Anle District ","No","No",0,"North",82336,"2021-05-05",2021-05-05
"126","District","Anle District ","No","No",0,"North",82336,"2021-05-06",2021-05-06
"127","District","Anle District ","No","No",0,"North",82336,"2021-05-07",2021-05-07
"128","District","Anle District ","No","No",0,"North",82336,"2021-05-08",2021-05-08
"129","District","Anle District ","No","No",0,"North",82336,"2021-05-09",2021-05-09
"130","District","Anle District ","No","No",0,"North",82336,"2021-05-10",2021-05-10
"131","District","Anle District ","No","No",0,"North",82336,"2021-05-11",2021-05-11
"132","District","Anle District ","No","No",0,"North",82336,"2021-05-12",2021-05-12
"133","District","Anle District ","No","No",0,"North",82336,"2021-05-13",2021-05-13
"134","District","Anle District ","No","No",0,"North",82336,"2021-05-14",2021-05-14
"135","District","Anle District ","No","No",0,"North",82336,"2021-05-15",2021-05-15
"136","District","Anle District ","No","No",1,"North",82336,"2021-05-16",2021-05-16
"137","District","Anle District ","No","No",2,"North",82336,"2021-05-17",2021-05-17
"138","District","Anle District ","No","No",2,"North",82336,"2021-05-18",2021-05-18
"139","District","Anle District ","No","No",1,"North",82336,"2021-05-19",2021-05-19
"140","District","Anle District ","No","No",2,"North",82336,"2021-05-20",2021-05-20
"141","District","Anle District ","No","No",2,"North",82336,"2021-05-21",2021-05-21
"142","District","Anle District ","No","No",0,"North",82336,"2021-05-22",2021-05-22
"143","District","Anle District ","No","No",1,"North",82336,"2021-05-23",2021-05-23
"144","District","Anle District ","No","No",3,"North",82336,"2021-05-24",2021-05-24
"145","District","Anle District ","No","No",0,"North",82336,"2021-05-25",2021-05-25
"146","District","Anle District ","No","No",3,"North",82336,"2021-05-26",2021-05-26
"147","District","Anle District ","No","No",1,"North",82336,"2021-05-27",2021-05-27
"148","District","Anle District ","No","No",0,"North",82336,"2021-05-28",2021-05-28
"149","District","Anle District ","No","No",6,"North",82336,"2021-05-29",2021-05-29
"150","District","Anle District ","No","No",2,"North",82336,"2021-05-30",2021-05-30
"151","District","Anle District ","No","No",2,"North",82336,"2021-05-31",2021-05-31
"152","District","Anle District ","No","No",3,"North",82336,"2021-06-01",2021-06-01
"153","District","Anle District ","No","No",3,"North",82336,"2021-06-02",2021-06-02
"154","District","Anle District ","No","No",0,"North",82336,"2021-06-03",2021-06-03
"155","District","Anle District ","No","No",0,"North",82336,"2021-06-04",2021-06-04
"156","District","Anle District ","No","No",3,"North",82336,"2021-06-05",2021-06-05
"157","District","Anle District ","No","No",0,"North",82336,"2021-06-06",2021-06-06
"158","District","Anle District ","No","No",1,"North",82336,"2021-06-07",2021-06-07
"159","District","Anle District ","No","No",1,"North",82336,"2021-06-08",2021-06-08
"160","District","Anle District ","No","No",4,"North",82336,"2021-06-09",2021-06-09
"161","District","Anle District ","No","No",5,"North",82336,"2021-06-10",2021-06-10
"162","District","Annan District ","No","No",0,"South",194189,"2021-01-01",2021-01-01
